"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"0500000US19153","Polk County, Iowa","490161","*****","*****","null",
"0500000US19155","Pottawattamie County, Iowa","93206","*****","*****","null",
"0500000US19163","Scott County, Iowa","172943","*****","*****","null",
"0500000US19169","Story County, Iowa","97117","*****","*****","null",
"0500000US19193","Woodbury County, Iowa","103107","*****","*****","null",
"0500000US20015","Butler County, Kansas","66911","*****","*****","null",
"0500000US20045","Douglas County, Kansas","122259","*****","*****","null",
"0500000US20091","Johnson County, Kansas","602401","*****","*****","null",
"0500000US20103","Leavenworth County, Kansas","81758","*****","*****","null",
"0500000US20161","Riley County, Kansas","74232","*****","*****","null",
"0500000US20173","Sedgwick County, Kansas","516042","*****","*****","null",
"0500000US20177","Shawnee County, Kansas","176875","*****","*****","null",
"0500000US20209","Wyandotte County, Kansas","165429","*****","*****","null",
"0500000US21015","Boone County, Kentucky","133581","*****","*****","null",
"0500000US21029","Bullitt County, Kentucky","81676","*****","*****","null",
"0500000US21037","Campbell County, Kentucky","93584","*****","*****","null",
"0500000US21047","Christian County, Kentucky","70461","*****","*****","null",
"0500000US21059","Daviess County, Kentucky","101511","*****","*****","null",
"0500000US21067","Fayette County, Kentucky","323152","*****","*****","null",
"0500000US21093","Hardin County, Kentucky","110958","*****","*****","null",
"0500000US21111","Jefferson County, Kentucky","766757","*****","*****","null",
"0500000US21117","Kenton County, Kentucky","166998","*****","*****","null",
"0500000US21145","McCracken County, Kentucky","65418","*****","*****","null",
"0500000US21151","Madison County, Kentucky","92987","*****","*****","null",
"0500000US21185","Oldham County, Kentucky","66799","*****","*****","null",
"0500000US21227","Warren County, Kentucky","132896","*****","*****","null",
"0500000US22005","Ascension Parish, Louisiana","126604","*****","*****","null",
"0500000US22015","Bossier Parish, Louisiana","127039","*****","*****","null",
"0500000US22017","Caddo Parish, Louisiana","240204","*****","*****","null",
"0500000US22019","Calcasieu Parish, Louisiana","203436","*****","*****","null",
"0500000US22033","East Baton Rouge Parish, Louisiana","440059","*****","*****","null",
"0500000US22045","Iberia Parish, Louisiana","69830","*****","*****","null",
"0500000US22051","Jefferson Parish, Louisiana","432493","*****","*****","null",
"0500000US22055","Lafayette Parish, Louisiana","244390","*****","*****","null",
"0500000US22057","Lafourche Parish, Louisiana","97614","*****","*****","null",
"0500000US22063","Livingston Parish, Louisiana","140789","*****","*****","null",
"0500000US22071","Orleans Parish, Louisiana","390144","*****","*****","null",
"0500000US22073","Ouachita Parish, Louisiana","153279","*****","*****","null",
"0500000US22079","Rapides Parish, Louisiana","129648","*****","*****","null",
"0500000US22097","St. Landry Parish, Louisiana","82124","*****","*****","null",
"0500000US22103","St. Tammany Parish, Louisiana","260419","*****","*****","null",
"0500000US22105","Tangipahoa Parish, Louisiana","134758","*****","*****","null",
"0500000US22109","Terrebonne Parish, Louisiana","110461","*****","*****","null",
"0500000US23001","Androscoggin County, Maine","108277","*****","*****","null",
"0500000US23003","Aroostook County, Maine","67055","*****","*****","null",
"0500000US23005","Cumberland County, Maine","295003","*****","*****","null",
"0500000US23011","Kennebec County, Maine","122302","*****","*****","null",
"0500000US23019","Penobscot County, Maine","152148","*****","*****","null",
"0500000US23031","York County, Maine","207641","*****","*****","null",
"0500000US24001","Allegany County, Maryland","70416","*****","*****","null",
"0500000US24003","Anne Arundel County, Maryland","579234","*****","*****","null",
"0500000US24005","Baltimore County, Maryland","827370","*****","*****","null",
"0500000US24009","Calvert County, Maryland","92525","*****","*****","null",
"0500000US24013","Carroll County, Maryland","168447","*****","*****","null",
"0500000US24015","Cecil County, Maryland","102855","*****","*****","null",
"0500000US24017","Charles County, Maryland","163257","*****","*****","null",
"0500000US24021","Frederick County, Maryland","259547","*****","*****","null",
"0500000US24025","Harford County, Maryland","255441","*****","*****","null",
"0500000US24027","Howard County, Maryland","325690","*****","*****","null",
"0500000US24031","Montgomery County, Maryland","1050688","*****","*****","null",
"0500000US24033","Prince George's County, Maryland","909327","*****","*****","null",
"0500000US24037","St. Mary's County, Maryland","113510","*****","*****","null",
"0500000US24043","Washington County, Maryland","151049","*****","*****","null",
"0500000US24045","Wicomico County, Maryland","103609","*****","*****","null",
"0500000US24510","Baltimore city, Maryland","593490","*****","*****","null",
"0500000US25001","Barnstable County, Massachusetts","212990","*****","*****","null",
"0500000US25003","Berkshire County, Massachusetts","124944","*****","*****","null",
"0500000US25005","Bristol County, Massachusetts","565217","*****","*****","null",
"0500000US25009","Essex County, Massachusetts","789034","*****","*****","null",
"0500000US25011","Franklin County, Massachusetts","70180","*****","*****","null",
"0500000US25013","Hampden County, Massachusetts","466372","*****","*****","null",
"0500000US25015","Hampshire County, Massachusetts","160830","*****","*****","null",
"0500000US25017","Middlesex County, Massachusetts","1611699","*****","*****","null",
"0500000US25021","Norfolk County, Massachusetts","706775","*****","*****","null",
"0500000US25023","Plymouth County, Massachusetts","521202","*****","*****","null",
"0500000US25025","Suffolk County, Massachusetts","803907","*****","*****","null",
"0500000US25027","Worcester County, Massachusetts","830622","*****","*****","null",
"0500000US26005","Allegan County, Michigan","118081","*****","*****","null",
"0500000US26017","Bay County, Michigan","103126","*****","*****","null",
"0500000US26021","Berrien County, Michigan","153401","*****","*****","null",
"0500000US26025","Calhoun County, Michigan","134159","*****","*****","null",
"0500000US26037","Clinton County, Michigan","79595","*****","*****","null",
"0500000US26045","Eaton County, Michigan","110268","*****","*****","null",
"0500000US26049","Genesee County, Michigan","405813","*****","*****","null",
