,Geography,Geographic_Area_Name,Total,Total_Male,Total_Male_Under_5_years,Total_Male_5_to_9_years,Total_Male_10_to_14_years,Total_Male_15_to_17_years,Total_Male_18_and_19_years,Total_Male_20_years,Total_Male_21_years,Total_Male_22_to_24_years,Total_Male_25_to_29_years,Total_Male_30_to_34_years,Total_Male_35_to_39_years,Total_Male_40_to_44_years,Total_Male_45_to_49_years,Total_Male_50_to_54_years,Total_Male_55_to_59_years,Total_Male_60_and_61_years,Total_Male_62_to_64_years,Total_Male_65_and_66_years,Total_Male_67_to_69_years,Total_Male_70_to_74_years,Total_Male_75_to_79_years,Total_Male_80_to_84_years,Total_Male_85_years_and_over,Total_Female,Total_Female_Under_5_years,Total_Female_5_to_9_years,Total_Female_10_to_14_years,Total_Female_15_to_17_years,Total_Female_18_and_19_years,Total_Female_20_years,Total_Female_21_years,Total_Female_22_to_24_years,Total_Female_25_to_29_years,Total_Female_30_to_34_years,Total_Female_35_to_39_years,Total_Female_40_to_44_years,Total_Female_45_to_49_years,Total_Female_50_to_54_years,Total_Female_55_to_59_years,Total_Female_60_and_61_years,Total_Female_62_to_64_years,Total_Female_65_and_66_years,Total_Female_67_to_69_years,Total_Female_70_to_74_years,Total_Female_75_to_79_years,Total_Female_80_to_84_years,Total_Female_85_years_and_over
52,0500000US06025,"Imperial County, California",181215,92926,7290,7871,6857,4216,2675,891,2464,3281,8362,7700,7904,3861,4281,5227,5302,1749,2328,2089,1184,2965,1909,1393,1127,88289,7187,6718,7244,4215,2672,1520,1354,3005,5985,5515,4919,5316,5088,4835,4781,1245,3674,1602,2561,2860,2533,1776,1684
53,0500000US06029,"Kern County, California",900202,460491,34167,37312,38533,21156,13487,7689,6465,20265,39815,36029,35194,25885,26335,24623,23321,9684,13980,6864,10879,11324,8309,4977,4198,439711,33934,33723,39359,20936,12379,5117,5069,18655,34313,31068,28256,26513,24926,23557,24590,9941,12266,6974,9847,16650,9679,6119,5840
54,0500000US06031,"Kings County, California",152940,83977,6269,3856,7184,2980,1800,1380,1387,5019,7816,7748,7054,5588,5959,4367,4458,1250,2137,1235,1573,2099,1701,558,559,68963,6212,5417,6399,3026,2005,1180,1147,2596,5655,5082,4791,3533,3402,3519,3864,765,1988,1369,1099,2183,1922,861,948
55,0500000US06033,"Lake County, California",64386,31474,1531,2006,1863,991,1058,0,659,194,2280,2110,1320,2271,1523,2223,2826,1002,893,413,1798,1940,1658,501,414,32912,2063,1811,2251,916,1378,72,97,310,1606,1715,2587,1456,1779,1595,1823,1488,2323,1717,1047,2170,1927,483,298
56,0500000US06037,"Los Angeles County, California",10039107,4949825,296228,286814,330504,184805,128210,66433,66906,208030,427974,407057,357533,334590,330626,322892,304188,124489,158021,97586,118667,153860,104768,72820,66824,5089282,283019,279464,306004,177711,126160,63736,65392,208077,414407,387346,353151,330360,338745,329125,318731,130008,178616,107784,138782,191739,136596,103748,120581
57,0500000US06039,"Madera County, California",157327,76562,5739,5936,6471,3724,2040,1647,1272,2249,5159,4741,4417,6058,4038,3936,4575,1078,2591,1700,2306,2547,1552,1683,1103,80765,5620,6959,5189,3502,2315,1342,626,3304,5658,5781,5404,5039,4754,4273,5295,1859,1889,1869,2587,2477,1978,1916,1129
58,0500000US06041,"Marin County, California",258826,126643,5364,6622,8234,5523,3865,1280,528,4088,5516,6327,7319,7255,9502,9461,9073,4156,5829,2713,4376,8300,5359,3754,2199,132183,5952,6735,8274,4896,2481,1253,1732,3490,4183,5315,7136,7265,10724,9921,9389,3799,6781,4627,4728,9422,4339,4935,4806
59,0500000US06045,"Mendocino County, California",86749,42245,2213,1448,3976,1131,1210,338,448,1887,1692,2186,3388,1641,2406,3317,2716,1386,1543,1182,1370,3820,2282,389,276,44504,2670,2794,2394,1693,1196,464,259,1067,3026,1526,3481,2289,2502,2232,2215,1629,2085,1331,1683,3643,1406,1440,1479
60,0500000US06047,"Merced County, California",277680,140344,10299,10954,12695,7279,4949,3017,2216,4886,11946,10164,9625,8926,7248,7735,6854,3137,3801,1519,3026,4725,2194,2051,1098,137336,10779,10228,11817,6729,4454,2679,3053,4186,10441,8502,9948,8089,7680,7308,6266,3557,4523,2311,3348,3979,2243,2943,2273
61,0500000US06053,"Monterey County, California",434061,220206,15440,15781,16773,9066,6232,3774,2871,9110,16983,15747,15529,15573,13466,12499,11929,5241,6527,4403,5165,7804,4703,2391,3199,213855,14779,15366,16484,9502,6937,2694,2020,9308,14561,13868,13178,13491,12202,11875,12950,4907,6731,5123,5076,8297,5390,4089,5027
62,0500000US06055,"Napa County, California",137744,68568,3607,3352,4775,2763,1761,687,1090,2254,4489,4506,4291,4256,4543,4248,4703,2023,2857,1731,2526,3320,2403,1115,1268,69176,2930,3361,4560,2575,1810,896,682,2975,3934,4196,4544,3796,4316,4440,5569,1728,2201,1584,2835,3986,2442,1659,2157
63,0500000US06057,"Nevada County, California",99755,48342,2682,2520,1712,1192,835,408,118,1564,2452,2641,3139,3016,2614,2504,3233,1894,2934,1555,2730,3705,2560,922,1412,51413,2418,1841,2684,1782,958,988,317,728,2011,3040,3741,1987,2505,2840,3988,1866,2877,2121,3270,3619,2315,1467,2050
64,0500000US06059,"Orange County, California",3175692,1568073,95525,90497,105440,62307,40888,22131,22472,59027,123596,111527,108598,95588,106102,108117,107845,40292,52193,31154,38111,57713,40592,24386,23972,1607619,89805,92233,94883,58986,39879,17009,18083,66049,116713,106066,101839,104704,111466,111864,104456,44287,59929,31567,44571,71116,49001,34511,38602
65,0500000US06061,"Placer County, California",398329,194974,10702,12524,13823,8381,4000,2781,1749,5877,10351,11169,12568,13896,12700,13151,13679,4812,7264,4007,6926,10038,6409,4346,3821,203355,10327,11340,13536,7525,4907,1522,1946,5868,9989,10847,14500,12180,13897,13116,13260,5976,9021,4771,7331,12072,8521,5392,5511
